Dates,Année,Mois,Anomalies
1910-04-01,1910,3,-0.45
1910-05-01,1910,4,-0.466
1910-06-01,1910,5,-0.482
1910-07-01,1910,6,-0.466
1910-08-01,1910,7,-0.436
1910-09-01,1910,8,-0.441
1910-10-01,1910,9,-0.482
1910-11-01,1910,10,-0.652
1910-12-01,1910,11,-0.666
1911-01-01,1911,0,-0.554
1911-02-01,1911,1,-0.753
1911-03-01,1911,2,-0.701
1911-04-01,1911,3,-0.717
1911-05-01,1911,4,-0.6
1911-06-01,1911,5,-0.567
1911-07-01,1911,6,-0.51
1911-08-01,1911,7,-0.5
1911-09-01,1911,8,-0.511
1911-10-01,1911,9,-0.465
1911-11-01,1911,10,-0.374
1911-12-01,1911,11,-0.293
1912-01-01,1912,0,-0.361
1912-02-01,1912,1,-0.288
1912-03-01,1912,2,-0.385
1912-04-01,1912,3,-0.342
1912-05-01,1912,4,-0.375
1912-06-01,1912,5,-0.312
1912-07-01,1912,6,-0.453
1912-08-01,1912,7,-0.559
1912-09-01,1912,8,-0.557
1912-10-01,1912,9,-0.641
1912-11-01,1912,10,-0.518
1912-12-01,1912,11,-0.484
1913-01-01,1913,0,-0.451
1913-02-01,1913,1,-0.508
1913-03-01,1913,2,-0.537
1913-04-01,1913,3,-0.431
1913-05-01,1913,4,-0.513
1913-06-01,1913,5,-0.505
1913-07-01,1913,6,-0.431
1913-08-01,1913,7,-0.39
1913-09-01,1913,8,-0.426
1913-10-01,1913,9,-0.425
1913-11-01,1913,10,-0.264
1913-12-01,1913,11,-0.232
1914-01-01,1914,0,-0.079
1914-02-01,1914,1,-0.211
1914-03-01,1914,2,-0.326
1914-04-01,1914,3,-0.39
1914-05-01,1914,4,-0.282
1914-06-01,1914,5,-0.281
1914-07-01,1914,6,-0.328
1914-08-01,1914,7,-0.214
1914-09-01,1914,8,-0.255
1914-10-01,1914,9,-0.146
1914-11-01,1914,10,-0.183
1914-12-01,1914,11,-0.249
1915-01-01,1915,0,-0.111
1915-02-01,1915,1,-0.044
1915-03-01,1915,2,-0.187
1915-04-01,1915,3,-0.046
1915-05-01,1915,4,-0.196
1915-06-01,1915,5,-0.215
1915-07-01,1915,6,-0.1
1915-08-01,1915,7,-0.065
1915-09-01,1915,8,-0.128
1915-10-01,1915,9,-0.255
1915-11-01,1915,10,-0.138
1915-12-01,1915,11,-0.253
1916-01-01,1916,0,-0.235
1916-02-01,1916,1,-0.181
1916-03-01,1916,2,-0.406
1916-04-01,1916,3,-0.339
1916-05-01,1916,4,-0.351
1916-06-01,1916,5,-0.472
1916-07-01,1916,6,-0.378
1916-08-01,1916,7,-0.342
1916-09-01,1916,8,-0.335
1916-10-01,1916,9,-0.395
1916-11-01,1916,10,-0.572
1916-12-01,1916,11,-0.629
1917-01-01,1917,0,-0.68
1917-02-01,1917,1,-0.765
1917-03-01,1917,2,-0.832
1917-04-01,1917,3,-0.477
1917-05-01,1917,4,-0.662
1917-06-01,1917,5,-0.357
1917-07-01,1917,6,-0.122
1917-08-01,1917,7,-0.226
1917-09-01,1917,8,-0.125
1917-10-01,1917,9,-0.385
1917-11-01,1917,10,-0.386
1917-12-01,1917,11,-0.635
1918-01-01,1918,0,-0.501
1918-02-01,1918,1,-0.514
1918-03-01,1918,2,-0.445
1918-04-01,1918,3,-0.49
1918-05-01,1918,4,-0.426
